narasi,rekomendasi_tindakan,produk_prioritas,rekomendasi_promosi,rekomendasi_program,koperasi_id,periode
"KDMP Banjaran Wetan berada dalam kondisi Kritis dengan skor kesehatan 35.2 setelah mengalami penurunan signifikan sebesar -6.6 poin dan proyeksi risiko bertahan di zona kritis sebesar 71.5%. Pola kinerja menunjukkan kelemahan yang merata rendah di seluruh lini, dengan manajemen stok (33.1) dan transaksi (34.6) sebagai titik terendah yang diikuti pelaporan (37.8).",Melakukan intervensi pendampingan teknis langsung oleh PMO untuk audit inventaris dan penertiban pencatatan transaksi harian guna mencegah kegagalan operasional total.,"[""Pengadaan konsentrat pakan ternak dan suplemen hewan berkualitas"", ""Penyediaan sarana produksi peternakan dan obat-obatan hewan"", ""Unit simpan pinjam modal kerja peternak""]",Kampanye paket bundling pakan dan vitamin ternak dengan skema bayar pasca-panen susu/ternak yang diluncurkan pada awal musim inseminasi atau siklus ternak.,"[""Pelatihan tata kelola logistik stok dan digitalisasi kasir sederhana bagi pengurus"", ""Kemitraan pasokan terpadu dengan distributor pusat pakan ternak untuk memangkas biaya perantara"", ""Pemanfaatan modal sosial desa untuk pembentukan kelompok paguyuban peternak mitra koperasi""]",KDMP-00002,2026-08
"KDMP Mekarmanik berada dalam kategori Waspada dengan skor kesehatan 57.4 setelah mengalami penurunan tajam sebesar -10.1 poin dari bulan sebelumnya. Pola sub-skor memperlihatkan kelemahan yang terkonsentrasi pada pengelolaan stok (42.4) dan transaksi (59.4), di tengah kinerja pelaporan yang masih relatif terjaga pada angka 70.5.",Melakukan asistensi intensif dan penataan ulang sistem manajemen inventaris guna menghentikan depresiasi stok serta mendongkrak kembali volume transaksi.,"[""Penyediaan pakan ikan dan bibit perikanan berkualitas"", ""Pengadaan sarana dan peralatan budidaya perikanan air tawar"", ""Layanan pembiayaan modal kerja musim tebar bagi pembudidaya""]",Promosi paket bundling saprokan hemat (pakan dan vitamin ikan) yang diluncurkan tepat pada momentum awal siklus tebar benih.,"[""Pelatihan pengolahan produk hilir perikanan untuk membuka diversifikasi ekonomi desa"", ""Kemitraan agregasi dan logistik hasil panen ikan menuju pusat perdagangan regional"", ""Digitalisasi pencatatan stok dan penjualan koperasi untuk memulihkan kontrol operasional""]",KDMP-00001,2026-08
"KDMP Mekarjaya berada dalam kondisi Sehat dengan skor komposit 86.4 dan tren peningkatan sebesar +3.3 poin serta proyeksi risiko kritis yang sangat rendah (7.9%). Kinerja sub-skor terpantau merata di level tinggi, dengan kekuatan utama pada pengelolaan stok (93.4), sementara aspek pelaporan (81.9) dan transaksi (83.8) masih menjadi area yang dapat ditingkatkan.",PMO perlu memfasilitasi pendampingan sistem otomasi pencatatan transaksi dan pelaporan keuangan rutin agar kualitas tata kelola administratif mengimbangi keunggulan manajemen stok.,"[""Penyediaan sarana produksi perkebunan (pupuk, bibit unggul, dan pestisida ramah lingkungan)"", ""Unit pengolahan pascapanen komoditas perkebunan lokal bernilai tambah"", ""Pusat distribusi sembako dan kebutuhan harian warga desa""]",Kampanye bundling 'Paket Saprotan Berkah' dengan diskon khusus dan skema pembayaran tunda panen pada awal musim tanam komoditas perkebunan.,"[""Kemitraan rantai pasok dan armada logistik bersama untuk menembus pasar induk mengingat akses ke pusat perdagangan yang jauh (>60 menit)"", ""Pelatihan standardisasi mutu dan sertifikasi produk perkebunan berkelanjutan memanfaatkan modal dimensi lingkungan yang kuat (0.8)"", ""Digitalisasi kasir (POS) dan pembukuan digital sederhana bagi pengelola koperasi""]",KDMP-00010,2026-08
KDMP Panca Agung berada dalam kategori Sehat dengan skor 75.3 dan menunjukkan tren positif berkat kenaikan 14.5 poin serta risiko kritis rendah (4.7%). Pola sub-skor memperlihatkan ketimpangan yang terkonsentrasi pada indikator transaksi (55.8) yang tertinggal jauh di bandingkan tata kelola pelaporan (91.9) dan manajemen stok (78.1).,Mendorong PMO untuk memfasilitasi program aktivasi transaksi anggota dan evaluasi perputaran layanan guna mengoptimalkan sub-skor transaksi yang masih rendah.,"[""Penyediaan sarana produksi perkebunan berkualitas (pupuk organik, bibit, dan alat pertanian)"", ""Unit agregasi dan pemasaran bersama hasil panen perkebunan ke pasar induk"", ""Layanan simpan pinjam modal kerja mikro untuk mendukung keragaman usaha warga""]",Mengadakan program promosi paket saprotan bundling berhadiah voucher belanja koperasi yang diluncurkan tepat pada awal musim tanam/pemupukan perkebunan.,"[""Kemitraan off-taker dengan pusat perdagangan di Kota Bandung untuk memperluas akses pasar hasil perkebunan"", ""Pelatihan pengelolaan usaha tani dan diversifikasi ekonomi berbasis komoditas lokal"", ""Digitalisasi kasir dan sistem pencatatan transaksi anggota untuk mempercepat layanan koperasi""]",KDMP-00015,2026-08
"KDMP Margahayu berada dalam kategori Kritis dengan skor kesehatan 23.4 dan risiko bertahan di status kritis sebesar 99.6% dalam 3 bulan ke depan meski mengalami kenaikan +11.5 poin. Pola kinerja menunjukkan kelemahan yang merata rendah di seluruh indikator operasional, dengan skor transaksi (18.5) menjadi titik terendah, diikuti pelaporan (23.9) dan manajemen stok (27.8).","Menerjunkan tim pendamping teknis PMO untuk restrukturisasi operasional harian, fokus pada digitalisasi pencatatan kas/transaksi dan audit berkala perputaran stok.","[""Penyediaan sarana produksi pertanian (pupuk, bibit, pestisida) terpadu"", ""Layanan agregator dan distribusi hasil panen pertanian ke pusat perdagangan terdekat"", ""Penyediaan sembako grosir dan input pakan ternak untuk diversifikasi usaha""]",Program promosi paket bundling pupuk dan benih berdiskon khusus anggota menjelang musim tanam serentak.,"[""Kemitraan offtaker dengan pedagang di pusat pasar utama memanfaatkan aksesibilitas wilayah yang dekat (<30 menit)"", ""Pelatihan digitalisasi pembukuan dan sistem inventaris berbasis aplikasi mobile bagi pengurus"", ""Program sertifikasi budidaya pertanian ramah lingkungan berbasis komunitas sosial desa""]",KDMP-00133,2026-08
"KDMP Suka Asih saat ini berada dalam kategori Sehat dengan skor 79.8, didukung oleh tata kelola pelaporan yang kuat (86.8) serta aktivitas transaksi yang baik (80.5). Kendati demikian, terjadi penurunan performa sebesar -3.8 poin yang terkonsentrasi pada indikator pengelolaan stok (72.2) dengan potensi risiko kritis 3 bulan sebesar 17.2%.",Melakukan asistensi teknis dan standardisasi SOP pergudangan serta pencatatan persediaan barang guna memperbaiki sub-skor stok dan mencegah tren penurunan berlanjut.,"[""Penyediaan saprotan lengkap (pupuk berkualitas, benih unggul, dan pestisida)"", ""Layanan penyewaan alat dan mesin pertanian (alsintan)"", ""Unit simpan pinjam modal kerja khusus musim tanam""]",Program promosi 'Paket Tani Berkah' berupa potongan harga sarana produksi pertanian dan kemudahan pembayaran tempo yang diluncurkan 2-3 minggu sebelum awal musim tanam serentak.,"[""Kemitraan off-taker langsung dengan pasar induk dan sentra perdagangan Kota Surabaya untuk mempercepat distribusi hasil panen"", ""Digitalisasi sistem manajemen stok dan inventaris koperasi secara real-time"", ""Pelatihan diversifikasi dan hilirisasi produk pascapanen untuk membuka sumber pendapatan baru warga""]",KDMP-00020,2026-08
"KDMP Cikidangbayabang berada dalam kondisi Sehat dengan skor 93.0 dan proyeksi risiko kritis sangat rendah sebesar 3.7%. Pola sub-skor memperlihatkan keunggulan tata kelola yang sangat solid pada aspek stok (99.3) dan pelaporan (100.0), sementara kinerja transaksi (79.8) menjadi satu-satunya area yang relatif tertinggal dibandingkan indikator lainnya.",Memfasilitasi strategi peningkatan perputaran transaksi anggota melalui optimalisasi sistem kasir digital dan skema loyalitas belanja guna mendongkrak sub-skor transaksi.,"[""Penyediaan sarana produksi pertanian berkualitas (pupuk, benih unggul, dan obat pertanian)"", ""Layanan pembiayaan modal kerja musiman khusus petani dengan skema bayar saat panen"", ""Unit penampungan dan distribusi hasil panen komoditas pertanian lokal""]",Program promosi 'Paket Hemat Musim Tanam' berupa potongan harga saprotan dan poin belanja yang diluncurkan tepat menjelang awal musim tanam serentak.,"[""Kemitraan logistik dan offtaker dengan pedagang besar di pusat perdagangan Cianjur untuk mempermudah distribusi hasil panen"", ""Pelatihan praktik pertanian ramah lingkungan dan pengolahan pascapanen untuk meningkatkan nilai tambah ekonomi"", ""Penguatan kelembagaan kelompok tani mitra koperasi melalui digitalisasi pencatatan hasil tani""]",KDMP-00006,2026-08
"KDMP Ciheulang berada dalam kategori Sehat dengan tren peningkatan performa yang positif. Pola sub-skor menunjukkan kinerja yang sangat kuat pada transaksi dan pelaporan, namun terdapat ketimpangan pada pengelolaan stok yang menjadi titik terendah.",Melakukan pendampingan intensif pada manajemen inventaris dan optimalisasi stok untuk menyelaraskan performa operasional.,"[""Pakan Ikan Berkualitas"", ""Sewa Cold Storage"", ""Alat Pengolahan Hasil Perikanan""]",Kampanye 'Panen Berlimpah' berupa promo paket pakan hemat yang dilaksanakan menjelang musim pembenihan ikan lokal.,"[""Kemitraan strategis dengan off-taker hasil perikanan"", ""Pelatihan diversifikasi produk olahan ikan"", ""Digitalisasi pemasaran hasil perikanan untuk memperpendek akses pasar""]",KDMP-00003,2026-08
"KDMP Cipedes berada dalam kondisi kritis dengan skor kesehatan 10.7/100 yang terus mengalami penurunan. Rendahnya performa terlihat merata di seluruh indikator, dengan titik terlemah berada pada aktivitas transaksi yang hanya mencapai skor 4.3.",Melakukan audit operasional menyeluruh dan intervensi manajemen darurat untuk mengatasi penurunan performa dan risiko kritis.,"[""Penyediaan bahan baku kerajinan skala grosir"", ""Jasa pengemasan produk industri kecil"", ""Kredit modal kerja khusus pengrajin""]",Kampanye 'Paket Bahan Baku Hemat' yang ditargetkan pada periode puncak produksi menjelang hari raya atau pameran daerah.,"[""Pelatihan pemasaran digital untuk memperluas akses pasar industri kecil"", ""Kemitraan dengan agregator produk kreatif untuk memotong rantai distribusi"", ""Implementasi sistem pelaporan digital untuk memperbaiki skor pelaporan""]",KDMP-00004,2026-08
"KDMP Mekar Kencana berada dalam kondisi kritis dengan skor 24.7, meskipun terdapat tren peningkatan positif. Masalah operasional terkonsentrasi pada manajemen stok yang sangat rendah (3.3) dibandingkan pelaporan yang jauh lebih stabil (50.0), menunjukkan aktivitas perdagangan fisik yang hampir terhenti.",Melakukan audit stok fisik dan evaluasi rantai pasok segera untuk mengidentifikasi penyebab rendahnya ketersediaan barang.,"[""Pakan ikan berkualitas"", ""Peralatan pendingin ikan"", ""Sembako pokok""]",Kampanye 'Paket Modal Nelayan' yang diluncurkan menjelang musim panen ikan.,"[""Digitalisasi pemasaran hasil perikanan untuk memperpendek akses pasar"", ""Pelatihan pengolahan limbah perikanan berbasis lingkungan"", ""Kemitraan strategis dengan distributor pakan ternak""]",KDMP-00061,2026-08
